# MILPERSMAN ARTICLE INDEX — parsed from the official Whole MILPERSMAN PDF.
# Format: ARTICLE|TITLE|COGNIZANT OFFICE
# 793 active articles.

1000-020|Pay and Personnel Record Maintenance Responsibilities|PERS-2
1000-021|Command Pay and Personnel Administrator (CPPA) Program|PERS-2
1000-025|Personnel Transaction Timeliness|PERS-22
1000-030|Active Duty Service Date (ADSD) for Enlisted Personnel|MNCC
1000-060|Military Personnel Social Security Number (SSN)|PERS-331
1000-090|Race Entries on Forms, Records, and Reports|OPNAV (N134E)
1000-100|Home of Record and Place From Which Ordered to Active Duty|PERS-312
1000-110|Name and Address Lists of Members of the Navy and Navy Reserve|BUPERS-00J
1000-120|Correction of Date of Birth|PERS-331
1000-130|Name Change of Service Member|MNCC
1000-140|Mailing Address of Members on Inactive Duty|PERS-912
1000-150|Board for Correction of Naval Records (BCNR)|PERS-31C
1000-160|Naval Discharge Review Board (NDRB)|NDRB
1000-170|Sailing Diary|MNCC
1001-020|Training and Administration of the Navy Reserve Officer Program|PERS-92
1001-021|Full-Time Support (FTS) of the Navy Reserve Enlisted Program|BUPERS-352
1001-022|Permanent Professional Recruiter (PPR) Designator of the Navy Reserve|PERS-832
1001-030|Civilian Employment of Inactive Duty Navy Reservists|PERS-91
1001-040|Foreign Travel and Residence of Inactive Duty Navy Reservists|PERS-91
1001-060|Assignment of Enlisted Naval Reservists to Active Duty|PERS-80C
1001-070|Inactive Duty Reservists Who are Students or Graduates of Medical|PERS-491
1001-080|Minimum Required Service of Naval Reserve Officers with an Initial 3 to 6|OPNAV (N13)
1001-090|Minimum Required Active Service of Reserve Officers|OPNAV (N13)
1001-100|Navy Reserve Status and Categories|PERS-91
1001-125|Requirements for Transfer from Selected Reserve or Individual Ready|PERS-93
1001-135|Screening Requirements for Individual Ready Reserve-Active Status Pool|PERS-93
1001-145|Requirements for Transfer from Active Component to the Individual Ready|PERS-93
1001-150|Navy Reserve Participation Requirements|PERS-91
1001-170|Reserve Family Member Identification Cards and Defense Enrollment|PERS-9
1001-260|Targeted Re-entry Program|PERS-97
1050-010|Leave Policy|OPNAV (N130)
1050-050|Hospitalization While on Leave|OPNAV (N130)
1050-070|Special Leave Accrual|OPNAV (N130)
1050-080|Computation of Leave - Overview|OPNAV (N13)
1050-081|Computation of Leave - General Instructions|OPNAV (N13)
1050-082|Computation of Leave - Examples of Charging Leave, Proceed, and Travel|OPNAV (N13)
1050-083|Computation of Leave - Example of Charging Leave During PCS with TDY|OPNAV (N13)
1050-084|Computation of Leave - Examples of Charging Leave When No Travel and|OPNAV (N13)
1050-085|Computation of Leave - Example of Charging Leave When Unaccounted|OPNAV (N13)
1050-090|Leave: Day of Departure/Return|OPNAV (N130)
1050-100|Leave: Check-in/Check-out Procedures|MNCC
1050-110|Absences Over Leave or Liberty (AOL)|OPNAV (N13)
1050-120|Separation Leave|OPNAV (N13)
1050-130|Emergency Leave|OPNAV (N13)
1050-140|Computation of Emergency Leave Involving Government-Funded Travel|OPNAV (N13)
1050-150|Leave En Route in Execution of Orders|OPNAV (N13)
1050-160|Leave During Temporary Duty or Temporary Additional Duty|OPNAV (N13)
1050-170|Leave in Conjunction with Temporary Additional Duty|OPNAV (N13)
1050-180|Convalescent Leave|OPNAV (N130)
1050-190|Sick in Quarters (SIQ) Status|OPNAV (N13)
1050-200|Rest and Recuperation on Leave Program|OPNAV (N130)
1050-210|Environmental and Morale Leave (EML)|OPNAV (N13)
1050-220|Recruiting Assistance Leave Program|OPNAV (N130)
1050-230|Leave for Midshipmen|OPNAV (N13)
1050-240|Leave for Naval Academy Midshipmen Candidates Who Are Graduates of|OPNAV (N13)
1050-250|Foreign Leave Travel|PERS-451H
1050-260|Leave/Emergency Leave in the Republic of the Philippines|OPNAV (N13)
1050-270|Administrative Absences|OPNAV (N130)
1050-271|Post-Deployment Mobilization Respite Absence for Active Duty Personnel|OPNAV (N130)
1050-272|Post-Deployment/Mobilization Respite Absence for Mobilized Reserve|OPNAV (N130)
1050-280|Definition of Liberty|OPNAV (N13)
1050-290|Policy Concerning Liberty|OPNAV (N13)
1050-310|Appellate Leave|NAMALA
1050-320|Request (Voluntary) Appellate Leave|NAMALA
